Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0xB59Ab49CA8d064E645Bf2c546d9FE6d1d4147a09'],['UNDEF']
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,['0xB59Ab49CA8d064E645Bf2c546d9FE6d1d4147a09'],['UNDEF']
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0x4678731DC41142A902a114aC5B2F77b63f4a259D', '0x8e620FfCa2580ed87241D7e10F85EE75d0a906F5']","['UNDEF', 'UNDEF']"
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0x79b131498355daa2cC740936fcb9A7dF76A86223'],['UNDEF']
disable(),AaveLinearPoolFactory,20230410-aave-linear-pool-v5,['0x79b131498355daa2cC740936fcb9A7dF76A86223'],['UNDEF']
disable(),ComposableStablePoolFactory,20230320-composable-stable-pool-v4,['0x79b131498355daa2cC740936fcb9A7dF76A86223'],['UNDEF']
disable(),ComposableStablePoolFactory,20230711-composable-stable-pool-v5,"['0x79b131498355daa2cC740936fcb9A7dF76A86223', '0xB59Ab49CA8d064E645Bf2c546d9FE6d1d4147a09']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20230711-zkevm-composable-stable-pool-v5,"['0x79b131498355daa2cC740936fcb9A7dF76A86223', '0xB59Ab49CA8d064E645Bf2c546d9FE6d1d4147a09']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20240223-composable-stable-pool-v6,['0x79b131498355daa2cC740936fcb9A7dF76A86223'],['UNDEF']
disable(),ERC4626LinearPoolFactory,20230409-erc4626-linear-pool-v4,['0x79b131498355daa2cC740936fcb9A7dF76A86223'],['UNDEF']
disable(),GearboxLinearPoolFactory,20230409-gearbox-linear-pool-v2,['0x79b131498355daa2cC740936fcb9A7dF76A86223'],['UNDEF']
disable(),ManagedPoolFactory,20230411-managed-pool-v2,['0x79b131498355daa2cC740936fcb9A7dF76A86223'],['UNDEF']
disable(),WeightedPoolFactory,20230320-weighted-pool-v4,['0x79b131498355daa2cC740936fcb9A7dF76A86223'],['UNDEF']
disable(),YearnLinearPoolFactory,20230409-yearn-linear-pool-v2,['0x79b131498355daa2cC740936fcb9A7dF76A86223'],['UNDEF']
