Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892'],['UNDEF']
"addTokenToGauge(address,address,address)",ChildChainGaugeTokenAdder,20220527-child-chain-gauge-token-adder,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['UNDEF']
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['UNDEF']
"add_reward(address,address,uint256)",ChildChainStreamer,20220413-child-chain-gauge-factory,['0xbfD9769b061E57e478690299011A028194D66e3C'],['UNDEF']
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0x466262c2a275aB106E54D95B5B04603e12b58cA1', '0x42E49B48573c725ee32d2579060Ed06894f97002', '0x5bf3B7c14b10f16939d63Bd679264A1Aa951B4D5', '0x598ce0f1ab64B27256759ef99d883EE51138b9bd']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['UNDEF']
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20221207-aave-rebalanced-linear-pool-v3,"['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D', '0xaF23DC5983230E9eEAf93280e312e57539D098D0']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230206-aave-rebalanced-linear-pool-v4,"['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D', '0xaF23DC5983230E9eEAf93280e312e57539D098D0']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230410-aave-linear-pool-v5,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['UNDEF']
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20221122-composable-stable-pool-v2,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20230206-composable-stable-pool-v3,"['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D', '0xaF23DC5983230E9eEAf93280e312e57539D098D0']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20230320-composable-stable-pool-v4,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['UNDEF']
disable(),ComposableStablePoolFactory,20230711-composable-stable-pool-v5,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['UNDEF']
