Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x955556b002d05c7B31a9394c10897c1DA19eAEab'],['UNDEF']
"addTokenToGauge(address,address,address)",ChildChainGaugeTokenAdder,20220527-child-chain-gauge-token-adder,['0x14969B55a675d13a1700F71A37511bc22D90155a'],['UNDEF']
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,['0x14969B55a675d13a1700F71A37511bc22D90155a'],['UNDEF']
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0xeF606F58A4FD0fCcb066c6203d0994694d3eB2D3', '0x3536fD480CA495Ac91E698A703248A8915c137a3', '0x2163c2FcD0940e84B8a68991bF926eDfB0Cd926C']","['UNDEF', 'UNDEF', 'UNDEF']"
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disable(),AaveLinearPoolFactory,20221207-aave-rebalanced-linear-pool-v3,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0x2a5AEcE0bb9EfFD7608213AE1745873385515c18']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230206-aave-rebalanced-linear-pool-v4,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0x2a5AEcE0bb9EfFD7608213AE1745873385515c18']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230410-aave-linear-pool-v5,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disable(),ComposableStablePoolFactory,20221122-composable-stable-pool-v2,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disable(),ComposableStablePoolFactory,20230206-composable-stable-pool-v3,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0x2a5AEcE0bb9EfFD7608213AE1745873385515c18']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20230320-composable-stable-pool-v4,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disable(),ComposableStablePoolFactory,20230711-composable-stable-pool-v5,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0x14969B55a675d13a1700F71A37511bc22D90155a']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20240223-composable-stable-pool-v6,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disable(),ManagedPoolFactory,20230411-managed-pool-v2,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disable(),StablePoolFactory,20220609-stable-pool-v2,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disable(),WeightedPoolFactory,20220908-weighted-pool-v2,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disable(),WeightedPoolFactory,20230206-weighted-pool-v3,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0x2a5AEcE0bb9EfFD7608213AE1745873385515c18']","['UNDEF', 'UNDEF']"
disable(),WeightedPoolFactory,20230320-weighted-pool-v4,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disableRecoveryMode(),ComposableStablePool,20221122-composable-stable-pool-v2,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disableRecoveryMode(),ComposableStablePool,20230206-composable-stable-pool-v3,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disableRecoveryMode(),ComposableStablePool,20230320-composable-stable-pool-v4,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disableRecoveryMode(),ComposableStablePool,20230711-composable-stable-pool-v5,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disableRecoveryMode(),ComposableStablePool,20240223-composable-stable-pool-v6,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disableRecoveryMode(),WeightedPool,20230206-weighted-pool-v3,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
disableRecoveryMode(),WeightedPool,20230320-weighted-pool-v4,['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962'],['UNDEF']
enableRecoveryMode(),AaveLinearPool,20221207-aave-rebalanced-linear-pool-v3,"['0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68', '0x2a5AEcE0bb9EfFD7608213AE1745873385515c18']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),AaveLinearPool,20230206-aave-rebalanced-linear-pool-v4,"['0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68', '0x2a5AEcE0bb9EfFD7608213AE1745873385515c18']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),AaveLinearPool,20230410-aave-linear-pool-v5,"['0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68', '0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),ComposableStablePool,20221122-composable-stable-pool-v2,['0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68'],['UNDEF']
enableRecoveryMode(),ComposableStablePool,20230206-composable-stable-pool-v3,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),ComposableStablePool,20230320-composable-stable-pool-v4,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),ComposableStablePool,20230711-composable-stable-pool-v5,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68', '0x2a5AEcE0bb9EfFD7608213AE1745873385515c18']","['UNDEF', 'UNDEF', 'UNDEF']"
enableRecoveryMode(),ComposableStablePool,20240223-composable-stable-pool-v6,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),ManagedPool,20230411-managed-pool-v2,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),WeightedPool,20230206-weighted-pool-v3,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),WeightedPool,20230320-weighted-pool-v4,"['0xd6110A7756080a4e3BCF4e7EBBCA8E8aDFBC9962', '0xc3ccacE87f6d3A81724075ADcb5ddd85a8A1bB68']","['UNDEF', 'UNDEF']"
"exitPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,"['0xeF606F58A4FD0fCcb066c6203d0994694d3eB2D3', '0x3536fD480CA495Ac91E698A703248A8915c137a3', '0x2163c2FcD0940e84B8a68991bF926eDfB0Cd926C']","['UNDEF', 'UNDEF', 'UNDEF']"
"joinPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,"['0xeF606F58A4FD0fCcb066c6203d0994694d3eB2D3', '0x3536fD480CA495Ac91E698A703248A8915c137a3', '0x2163c2FcD0940e84B8a68991bF926eDfB0Cd926C']","['UNDEF', 'UNDEF', 'UNDEF']"
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0xeF606F58A4FD0fCcb066c6203d0994694d3eB2D3', '0x3536fD480CA495Ac91E698A703248A8915c137a3', '0x2163c2FcD0940e84B8a68991bF926eDfB0Cd926C']","['UNDEF', 'UNDEF', 'UNDEF']"
