Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0xdcdbf71A870cc60C6F9B621E28a7D3Ffd6Dd4965', '0xC92E8bdf79f0507f65a392b0ab4667716BFE0110', '0xAc9f49eF3ab0BbC929f7b1bb0A17E1Fca5786251', '0x886A3Ec7bcC508B8795990B60Fa21f85F9dB7948', '0x2536dfeeCB7A0397CF98eDaDA8486254533b1aFA', '0xfeA793Aa415061C483D2390414275AD314B3F621']","['20210812-lido-relayer/LidoRelayer', 'cow/vault_relayer', '20211203-batch-relayer/BalancerRelayer', '20220720-batch-relayer-v3/BalancerRelayer', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer']"
checkpoint(),ArbitrumRootGauge,20220413-arbitrum-root-gauge-factory,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),ArbitrumRootGauge,20220823-arbitrum-root-gauge-factory-v2,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),FeeDistributor,20220420-fee-distributor,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),FeeDistributor,20220714-fee-distributor-v2,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),GaugeController,20220325-gauge-controller,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),GnosisRootGauge,20230217-gnosis-root-gauge-factory,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),OptimismRootGauge,20220628-optimism-root-gauge-factory,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),OptimismRootGauge,20220823-optimism-root-gauge-factory-v2,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),PolygonRootGauge,20220413-polygon-root-gauge-factory,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),PolygonRootGauge,20220823-polygon-root-gauge-factory-v2,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),SingleRecipientGauge,20220325-single-recipient-gauge-factory,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),SingleRecipientGauge,20230215-single-recipient-gauge-factory-v2,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
checkpoint(),VotingEscrow,20220325-gauge-controller,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
denylistAddress(address),SmartWalletChecker,20220420-smart-wallet-checker,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['multisigs/dao']
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['multisigs/emergency']
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['multisigs/blabs_ops', 'multisigs/emergency']"
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['multisigs/blabs_ops', 'multisigs/emergency']"
disable(),AaveLinearPoolFactory,20221207-aave-rebalanced-linear-pool-v3,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['multisigs/emergency']
disable(),AaveLinearPoolFactory,20230206-aave-rebalanced-linear-pool-v4,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['multisigs/emergency']
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['multisigs/blabs_ops', 'multisigs/emergency']"
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['multisigs/blabs_ops', 'multisigs/emergency']"
disable(),ComposableStablePoolFactory,20221122-composable-stable-pool-v2,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['multisigs/blabs_ops', 'multisigs/emergency']"
disable(),ComposableStablePoolFactory,20221122-composable-stable-pool-v2,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['multisigs/blabs_ops', 'multisigs/emergency']"
disable(),ComposableStablePoolFactory,20230206-composable-stable-pool-v3,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['multisigs/emergency']
disable(),ComposableStablePoolFactory,20230320-composable-stable-pool-v4,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['multisigs/emergency']
disable(),ERC4626LinearPoolFactory,20230206-erc4626-linear-pool-v3,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['multisigs/emergency']
disable(),EulerLinearPoolFactory,20230208-euler-linear-pool,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['multisigs/emergency']
disable(),GearboxLinearPoolFactory,20230213-gearbox-linear-pool,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['multisigs/emergency']
disable(),ManagedPoolFactory,20221021-managed-pool,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['multisigs/blabs_ops', 'multisigs/emergency']"
disable(),ManagedPoolFactory,20221021-managed-pool,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['multisigs/blabs_ops', 'multisigs/emergency']"
disable(),ManagedPoolFactory,20230411-managed-pool-v2,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['multisigs/emergency']
disable(),NoProtocolFeeLiquidityBootstrappingPoolFactory,20211202-no-protocol-fee-lbp,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['multisigs/blabs_ops']
