Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
activate(),BalancerTokenAdmin,20220325-balancer-token-admin,['0x3d64fb8a2fFd08C186e8060aA57c8011D8b999cC'],['UNDEF']
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,['0xC92E8bdf79f0507f65a392b0ab4667716BFE0110'],['UNDEF']
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,['0xC92E8bdf79f0507f65a392b0ab4667716BFE0110'],['UNDEF']
"mint(address,uint256)",BalancerTokenAdmin,20220325-balancer-token-admin,['0x9098b50ee2d9E4c3C69928A691DA3b192b4C9673'],['UNDEF']
setAuthorizer(address),Vault,20210418-vault,['0x6eaD84Af26E997D27998Fc9f8614e8a19BB93938'],['20230522-timelock-authorizer/TimelockAuthorizerMigrator']
