Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
checkpoint(),SingleRecipientGauge,20220325-single-recipient-gauge-factory,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0x343688C5cB92115a52cA485af7f62B4B7A2e9CcC']","['UNDEF', 'UNDEF']"
checkpoint(),SingleRecipientGauge,20230215-single-recipient-gauge-factory-v2,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0x343688C5cB92115a52cA485af7f62B4B7A2e9CcC']","['UNDEF', 'UNDEF']"
checkpoint(),VotingEscrow,20220325-gauge-controller,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0x343688C5cB92115a52cA485af7f62B4B7A2e9CcC']","['UNDEF', 'UNDEF']"
denylistAddress(address),SmartWalletChecker,20220420-smart-wallet-checker,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20221207-aave-rebalanced-linear-pool-v3,"['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888', '0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230206-aave-rebalanced-linear-pool-v4,"['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888', '0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230410-aave-linear-pool-v5,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['UNDEF', 'UNDEF']"
