Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
activate(),BalancerTokenAdmin,20220325-balancer-token-admin,['0x2122A7FCC2eeBF59cDF532EBFd197d56343E34A0'],['UNDEF']
addArbitrumGauge(address),GaugeAdder,20220325-gauge-adder,['0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef'],['UNDEF']
addEthereumGauge(address),GaugeAdder,20220325-gauge-adder,"['0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0x3b1836C09fdAe0A7C2848F99B2584aEBD6A36876']","['UNDEF', 'UNDEF']"
addPolygonGauge(address),GaugeAdder,20220325-gauge-adder,['0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef'],['UNDEF']
"add_gauge(address,int128)",GaugeController,20220325-gauge-controller,"['0x0Df18b22fB1DD4c1D4bfBF783A8acF0758979328', '0x3b1836C09fdAe0A7C2848F99B2584aEBD6A36876']","['20220325-gauge-adder/GaugeAdder', 'UNDEF']"
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,"['0xE0a171587b1Cae546E069A943EDa96916F5EE977', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0xeC576a26335dE1C360d2FC9A68cbA6BA37af4a13']","['UNDEF', 'UNDEF', 'UNDEF']"
"add_reward(address,address)",LiquidityGaugeV5,20220325-mainnet-gauge-factory,"['0xE0a171587b1Cae546E069A943EDa96916F5EE977', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0xeC576a26335dE1C360d2FC9A68cbA6BA37af4a13']","['UNDEF', 'UNDEF', 'UNDEF']"
"add_reward(address,address)",LiquidityGaugeV5,20220822-mainnet-gauge-factory-v2,"['0xE0a171587b1Cae546E069A943EDa96916F5EE977', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0xeC576a26335dE1C360d2FC9A68cbA6BA37af4a13']","['UNDEF', 'UNDEF', 'UNDEF']"
"add_reward(address,address,uint256)",ChildChainStreamer,20220413-child-chain-gauge-factory,['0xeC576a26335dE1C360d2FC9A68cbA6BA37af4a13'],['UNDEF']
allowlistAddress(address),SmartWalletChecker,20220420-smart-wallet-checker,"['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f', '0x3bAbEBfD684506A5B47701ee231A53427Ad413Ef', '0x171C0fF5943CE5f133130436A29bF61E26516003']","['UNDEF', 'UNDEF', 'UNDEF']"
